"address","borough","zipcode","lon","lat","risk1"
"100 MADISON STREET","MN",10002,-73.9955,40.712,0
"100 MARINE AVENUE","BK",11209,-74.0366,40.6177,0
"100 MARTIN L KING PLACE","BK",11206,-73.9489,40.6967,0
"100 MOTT STREET","MN",10013,-73.9972,40.7173,1
"100 OCEAN PARKWAY","BK",11218,-73.9757,40.6482,0
"100 OVERLOOK TERRACE","MN",10040,-73.9348,40.8563,0
"100 POST AVENUE","MN",10034,-73.9211,40.8644,0
"100 POWERS STREET","BK",11211,-73.9469,40.7119,0
"100 PULASKI STREET","BK",11206,-73.9474,40.6924,0
"100 RALPH AVENUE","BK",11221,-73.9237,40.6866,0
"100 REMSEN STREET","BK",11201,-73.9945,40.6938,0
"100 RIVERSIDE DRIVE","MN",10024,-73.9809,40.787,0
"100 RIVINGTON STREET","MN",10002,-73.9881,40.7202,0
"100 ROGERS AVENUE","BK",11216,-73.9531,40.6733,0
"100 SEAMAN AVENUE","MN",10034,-73.9244,40.8686,0
"100 STANTON STREET","MN",10002,-73.9879,40.7214,0
"100 STARR STREET","BK",11237,-73.9256,40.7022,1
"100 STUYVESANT PLACE","SI",10301,-74.078,40.6437,0
"100 SUFFOLK STREET","MN",10002,-73.9861,40.7185,0
"100 SULLIVAN STREET","MN",10012,-74.0033,40.7257,0
"100 TROUTMAN STREET","BK",11206,-73.9299,40.699,1
"100 UNITED NATIONS PLAZA","MN",10017,-73.9676,40.7531,0
"100 VELTMAN AVENUE","SI",10302,-74.134,40.6256,0
"100 WEST 138 STREET","MN",10037,-73.9399,40.816,0
"100 WEST 143 STREET","MN",10037,-73.9376,40.8192,0
"100 WEST 174 STREET","BX",10453,-73.9178,40.8468,0
"100 WEST 3 STREET","MN",10012,-73.9996,40.7299,0
"100 WEST 67 STREET","MN",10023,-73.9815,40.7743,0
"100 WEST 69 STREET","MN",10023,-73.9805,40.7754,0
"100 WEST 71 STREET","MN",10023,-73.9796,40.7766,0
"100 WEST 72 STREET","MN",10023,-73.9792,40.7773,0
"100 WEST 73 STREET","MN",10023,-73.9786,40.778,0
"100 WEST 74 STREET","MN",10023,-73.9782,40.7786,1
"100 WEST 85 STREET","MN",10024,-73.973,40.7857,0
"100 WEST 86 STREET","MN",10024,-73.9725,40.7863,0
"100 WEST 93 STREET","MN",10025,-73.9696,40.7908,0
"100 WINTHROP STREET","BK",11225,-73.9568,40.6565,0
"100 WOODRUFF AVENUE","BK",11226,-73.9625,40.6535,0
"100-02 37 AVENUE","QN",11368,-73.867,40.7523,1
"100-04 37 AVENUE","QN",11368,-73.8669,40.7524,1
"100-06 37 AVENUE","QN",11368,-73.8669,40.7524,0
"100-06 40 ROAD","QN",11368,-73.8647,40.7486,0
"100-09 32 AVENUE","QN",11369,-73.8684,40.7594,0
"100-10 37 AVENUE","QN",11368,-73.8668,40.7524,1
"100-10 67 ROAD","QN",11375,-73.853,40.7255,0
"100-11 67 ROAD","QN",11375,-73.8536,40.7259,0
"100-12 37 AVENUE","QN",11368,-73.8667,40.7524,0
"100-14 37 AVENUE","QN",11368,-73.8666,40.7525,1
"100-16 37 AVENUE","QN",11368,-73.8665,40.7525,1
"100-18 37 AVENUE","QN",11368,-73.8665,40.7525,1
"100-18 40 ROAD","QN",11368,-73.8643,40.7486,0
"100-20 37 AVENUE","QN",11368,-73.8664,40.7525,0
"100-20 40 ROAD","QN",11368,-73.8642,40.7486,1
"100-22 37 AVENUE","QN",11368,-73.8663,40.7526,1
"100-25 QUEENS BOULEVARD","QN",11375,-73.8524,40.7272,0
"100-26 67 ROAD","QN",11375,-73.8528,40.7259,0
"1000 HOE AVENUE","BX",10459,-73.8903,40.8234,1
"1000 NOSTRAND AVENUE","BK",11225,-73.9513,40.6642,0
"1000 PARK AVENUE","MN",10028,-73.9585,40.7792,0
"1000 PARK PLACE","BK",11213,-73.9441,40.6728,0
"1001 AVENUE H","BK",11230,-73.9669,40.6297,0
"1001 DECATUR STREET","BK",11207,-73.9116,40.685,1
"1001 DORCHESTER ROAD","BK",11218,-73.968,40.6376,0
"1001 DR M L KING JR BLVD","BX",10452,-73.931,40.8338,0
"1001 EAST 108 STREET","BK",11236,-73.89,40.6472,0
"1001 EAST 167 STREET","BX",10459,-73.8895,40.827,0
"1001 FINDLAY AVENUE","BX",10456,-73.915,40.8286,0
"1001 GRAND CONCOURSE","BX",10452,-73.9215,40.83,0
"1001 HOME STREET","BX",10459,-73.8894,40.829,0
"1001 JEROME AVENUE","BX",10452,-73.9271,40.8311,0
"1001 LINCOLN PLACE","BK",11213,-73.9435,40.6706,0
"1001 OCEAN AVENUE","BK",11226,-73.9585,40.6381,0
"1001 PUTNAM AVENUE","BK",11221,-73.9208,40.6876,1
"1001 ST NICHOLAS AVENUE","MN",10032,-73.9406,40.834,0
"1001 WOODYCREST AVENUE","BX",10452,-73.9283,40.8328,0
"1002 AVENUE H","BK",11230,-73.9667,40.6292,0
"1002 CASTLE HILL AVENUE","BX",10472,-73.8498,40.8278,0
"1002 DECATUR STREET","BK",11207,-73.9111,40.6847,1
"1002 FOSTER AVENUE","BK",11230,-73.9671,40.6318,0
"1002 GARRISON AVENUE","BX",10474,-73.8901,40.8187,1
"1002 PARK PLACE","BK",11213,-73.944,40.6728,1
"1003 DECATUR STREET","BK",11207,-73.9115,40.6851,0
"1003 GRANT AVENUE","BX",10456,-73.9177,40.8294,0
"1003 LAFAYETTE AVENUE","BK",11221,-73.9319,40.6923,1
"1003 WILLMOHR STREET","BK",11212,-73.9207,40.6555,0
"1004 2 AVENUE","MN",10022,-73.9668,40.7568,0
"1004 57 STREET","BK",11219,-74.0034,40.6342,1
"1004 HEGEMAN AVENUE","BK",11208,-73.8756,40.6666,0
"1004 MONTGOMERY STREET","BK",11213,-73.9311,40.6641,0
"1004 UNION STREET","BK",11225,-73.959,40.6696,0
"1005 45 STREET","BK",11219,-73.9959,40.6412,0
"1005 46 STREET","BK",11219,-73.9966,40.6406,0
"1005 ESPLANADE","BX",10461,-73.8601,40.8552,0
"1005 JEROME AVENUE","BX",10452,-73.9266,40.8317,0
"1005 LINCOLN PLACE","BK",11213,-73.9433,40.6706,0
"1005 MORRIS PARK AVENUE","BX",10462,-73.8562,40.8484,1
"1005 WALTON AVENUE","BX",10452,-73.9225,40.8304,0
"1006 1 AVENUE","MN",10022,-73.9631,40.7571,0
"1006 57 STREET","BK",11219,-74.0033,40.6342,1
"1006 CATON AVENUE","BK",11218,-73.9704,40.6485,0
"1006 DECATUR STREET","BK",11207,-73.9111,40.6848,1
"1006 FULTON STREET","BK",11238,-73.9606,40.6819,0
"1006 GERARD AVENUE","BX",10452,-73.9229,40.8305,0
"1006 GRANT AVENUE","BX",10456,-73.9172,40.8294,0
"1006 INTERVALE AVENUE","BX",10459,-73.8965,40.8234,0
"1007 2 AVENUE","MN",10022,-73.9673,40.7571,1
"1007 DECATUR STREET","BK",11207,-73.9115,40.6851,0
"1007 GRANT AVENUE","BX",10456,-73.9175,40.8296,0
"1007 LEXINGTON AVENUE","MN",10021,-73.9617,40.7707,1
"1007 PUTNAM AVENUE","BK",11221,-73.9205,40.6877,0
"1007 SOUTHERN BOULEVARD","BX",10459,-73.8922,40.823,1
"1008 GARRISON AVENUE","BX",10474,-73.89,40.8188,0
"1008 MANHATTAN AVENUE","BK",11222,-73.9545,40.7334,1
"1008 SUMMIT AVENUE","BX",10452,-73.9298,40.8334,0
"1008 WILLOUGHBY AVENUE","BK",11221,-73.9287,40.6988,0
"1009 BROADWAY","BK",11221,-73.9331,40.6961,0
"1009 EAST 225 STREET","BX",10466,-73.8515,40.8851,0
"1009 LINCOLN PLACE","BK",11213,-73.9431,40.6706,0
"1009 MADISON AVENUE","MN",10075,-73.9626,40.7753,0
"1009 PARK AVENUE","MN",10028,-73.9575,40.7791,0
"101 2 AVENUE","MN",10003,-73.9889,40.7274,0
"101 3 AVENUE","BK",11217,-73.9818,40.6831,0
"101 7 AVENUE","MN",10011,-73.9982,40.74,0
"101 7 AVENUE SOUTH","MN",10014,-74.0028,40.7331,1
"101 ARLINGTON AVENUE","BK",11207,-73.891,40.6801,0
"101 AUDUBON AVENUE","MN",10032,-73.9371,40.8418,0
"101 AVENUE D","MN",10009,-73.9766,40.7235,0
"101 BAY 37 STREET","BK",11214,-73.9906,40.5966,0
"101 BEDFORD AVENUE","BK",11211,-73.9546,40.72,0
"101 BERGEN STREET","BK",11201,-73.9894,40.6865,0
"101 BRIGHTWATER COURT","BK",11235,-73.9663,40.5757,0
"101 CHARLES STREET","MN",10014,-74.0055,40.7347,0
"101 DELANCEY STREET","MN",10002,-73.9889,40.7185,0
"101 DONLEY AVENUE","SI",10305,-74.0756,40.6077,0
"101 DUANE STREET","MN",10007,-74.006,40.7157,0
"101 DYCKMAN STREET","MN",10040,-73.9246,40.862,0
"101 EAST 100 STREET","MN",10029,-73.9503,40.7892,0
"101 EAST 102 STREET","MN",10029,-73.9494,40.7904,1
"101 EAST 116 STREET","MN",10029,-73.9427,40.7994,0
"101 EAST 168 STREET","BX",10452,-73.918,40.8365,0
"101 EAST 179 STREET","BX",10453,-73.9064,40.8519,0
"101 EAST 29 STREET","BK",11226,-73.9499,40.6467,1
"101 EAST 56 STREET","BK",11203,-73.9246,40.6547,1
"101 EAST BROADWAY","MN",10002,-73.9932,40.7136,0
"101 EAST TREMONT AVENUE","BX",10453,-73.9073,40.8509,0
"101 FRANKLIN STREET","BK",11222,-73.9578,40.7294,0
"101 GREENPOINT AVENUE","BK",11222,-73.9562,40.7303,0
"101 HAVEMEYER STREET","BK",11211,-73.9562,40.7132,0
"101 HIMROD STREET","BK",11221,-73.9237,40.6965,0
"101 JAVA STREET","BK",11222,-73.9569,40.7316,0
"101 KINGSTON AVENUE","BK",11213,-73.9412,40.6765,0
"101 LAFAYETTE AVENUE","BK",11217,-73.974,40.6875,0
"101 LEXINGTON AVENUE","MN",10016,-73.9825,40.7421,0
"101 LINCOLN ROAD","BK",11225,-73.9596,40.6613,0
"101 MAC DOUGAL STREET","MN",10012,-74.001,40.7297,0
"101 MARINE AVENUE","BK",11209,-74.036,40.6177,0
"101 MONTROSE AVENUE","BK",11206,-73.9456,40.7073,0
"101 NASSAU AVENUE","BK",11222,-73.9502,40.7242,0
"101 OCEAN PARKWAY","BK",11218,-73.9742,40.648,0
"101 ORCHARD STREET","MN",10002,-73.9902,40.7187,0
"101 POST AVENUE","MN",10034,-73.9206,40.864,0
"101 PROSPECT PARK WEST","BK",11215,-73.9753,40.6669,0
"101 QUINCY STREET","BK",11238,-73.9571,40.6864,0
"101 RIDGEWOOD AVENUE","BK",11208,-73.8852,40.683,0
"101 RIVINGTON STREET","MN",10002,-73.9883,40.7198,0
"101 ROGERS AVENUE","BK",11216,-73.9526,40.6741,0
"101 RUSSELL STREET","BK",11222,-73.9445,40.7241,0
"101 SOUTH OXFORD STREET","BK",11217,-73.9732,40.6866,0
"101 ST MARKS PLACE","MN",10009,-73.9843,40.7274,0
"101 ST NICHOLAS AVENUE","BK",11237,-73.9185,40.706,1
"101 STANTON STREET","MN",10002,-73.988,40.7212,0
"101 STARR STREET","BK",11237,-73.926,40.7025,0
"101 STATE STREET","BK",11201,-73.9954,40.6915,0
"101 TROUTMAN STREET","BK",11206,-73.9303,40.6993,0
"101 VERMILYEA AVENUE","MN",10034,-73.9222,40.8659,0
"101 WADSWORTH AVENUE","MN",10033,NA,NA,0
"101 WELDON STREET","BK",11208,-73.8715,40.6803,0
"101 WEST 104 STREET","MN",10025,-73.9639,40.7982,0
"101 WEST 12 STREET","MN",10011,-73.998,40.7364,0
"101 WEST 130 STREET","MN",10037,-73.9435,40.8112,0
"101 WEST 138 STREET","MN",10030,-73.9398,40.8164,0
"101 WEST 69 STREET","MN",10023,-73.9803,40.7757,0
"101 WEST 70 STREET","MN",10023,-73.9798,40.7764,0
"101 WEST 71 STREET","MN",10023,-73.9794,40.777,0
"101 WEST 72 STREET","MN",10023,-73.9789,40.7778,1
"101 WEST 73 STREET","MN",10023,-73.9784,40.7784,0
"101 WEST 77 STREET","MN",10024,-73.9765,40.7809,0
"101 WEST 85 STREET","MN",10024,-73.9729,40.7862,0
"101 WEST 86 STREET","MN",10024,-73.9721,40.7869,0
"101 WEST 87 STREET","MN",10024,NA,NA,0
"101 WEST END AVENUE","MN",10069,-73.9884,40.7751,0
"101 WOODRUFF AVENUE","BK",11226,-73.9628,40.6539,0
"101-01 BOOTH STREET","QN",11375,-73.8526,40.7253,0
"101-05 39 AVENUE","QN",11368,-73.8647,40.7504,0
"101-06 43 AVENUE","QN",11368,-73.8634,40.7468,0
"101-06 67 DRIVE","QN",11375,-73.8519,40.725,0
"101-07 39 AVENUE","QN",11368,-73.8646,40.7505,0
"101-09 39 AVENUE","QN",11368,-73.8645,40.7505,0
"101-11 86 AVENUE","QN",11418,-73.8465,40.6963,0
"101-12 46 AVENUE","QN",11368,-73.8625,40.7454,0
"101-14 39 AVENUE","QN",11368,-73.8642,40.7501,0
"101-16 31 AVENUE","QN",11369,-73.8675,40.7611,0
"101-16 39 AVENUE","QN",11368,-73.8641,40.7501,0
"101-16 86 AVENUE","QN",11418,-73.8461,40.696,0
"101-17 MARTENSE AVENUE","QN",11368,-73.8577,40.7397,0
"101-19 MARTENSE AVENUE","QN",11368,-73.8577,40.7397,0
"101-21 MARTENSE AVENUE","QN",11368,-73.8576,40.7397,0
"101-21 ROCKAWAY BOULEVARD","QN",11417,-73.8382,40.68,0
"101-24 QUEENS BOULEVARD","QN",11375,-73.8521,40.7258,0
"101-33 108 STREET","QN",11419,-73.8345,40.6864,0
"101-43 95 STREET","QN",11416,-73.8443,40.6834,0
"101-66 115 STREET","QN",11419,-73.8286,40.6872,0
"101-66 125 STREET","QN",11419,-73.8202,40.6896,1
"1010 3 AVENUE","MN",10065,-73.9663,40.7625,0
"1010 57 STREET","BK",11219,-74.0032,40.6342,1
"1010 DORCHESTER ROAD","BK",11218,-73.9678,40.6373,0
"1010 EAST TREMONT AVENUE","BX",10460,-73.8813,40.8403,0
"1010 EASTERN PARKWAY","BK",11213,-73.9351,40.6686,0
"1010 HEGEMAN AVENUE","BK",11208,-73.8755,40.6667,0
"1010 HOE AVENUE","BX",10459,-73.8902,40.8236,0
"1010 LINCOLN PLACE","BK",11213,-73.9431,40.6701,0
"1010 PRESIDENT STREET","BK",11225,-73.9584,40.6686,0
"1010 RUTLAND ROAD","BK",11212,-73.926,40.6626,1
"1011 AVENUE O","BK",11230,-73.9634,40.6127,1
"1011 CARROLL PLACE","BX",10456,-73.9197,40.83,0
"1011 FULTON STREET","BK",11238,-73.9615,40.6825,0
"1011 OCEAN AVENUE","BK",11226,-73.9583,40.6376,0
"1011 PACIFIC STREET","BK",11238,-73.9604,40.6797,0
"1011 RUTLAND ROAD","BK",11212,-73.9262,40.6631,1
"1011 SENECA AVENUE","QN",11385,-73.901,40.6991,0
